Afghanistan;AFG;AFG;33;65;34656032;;;;;;;
Albania;ALB;ALB;41;20;2876101;;;;;;;
Algeria;DZA;DZA;28;3;40606052;;;;;;;
American Samoa;ASM;ASM;-14.3333;-170;55599;;;;;;;
Andorra;AND;AND;42.5;1.6;77281;;;;;;;
Angola;AGO;AGO;-12.5;18.5;28813463;;;;;;;
Antigua and Barbuda;ATG;ATG;17.05;-61.8;100963;;;;;;;
Argentina;ARG;ARG;-34;-64;43847430;;;;;;;
Armenia;ARM;ARM;40;45;2924816;;;;;;;
Aruba;ABW;ABW;12.5;-69.9667;104822;;;;;;;
Australia;AUS;AUS;-27;133;24127159;;;;;;;
Austria;AUT;AUT;47.3333;13.3333;8747358;;;;;;;
Azerbaijan;AZE;AZE;40.5;47.5;9762274;;;;;;;
Bahamas;BHS;BHS;24.25;-76;391232;;;;;;;
Bahrain;BHR;BHR;26;50.55;1425171;;;;;;;
Bangladesh;BGD;BGD;24;90;162951560;;;;;;;
Barbados;BRB;BRB;13.1667;-59.5333;284996;;;;;;;
Belarus;BLR;BLR;53;28;9507120;;;;;;;
Belgium;BEL;BEL;50.8333;4;11348159;;;;;;;
Belize;BLZ;BLZ;17.25;-88.75;366954;;;;;;;
Benin;BEN;BEN;9.5;2.25;10872298;;;;;;;
Bermuda;BMU;BMU;32.3333;-64.75;65331;;;;;;;
Bhutan;BTN;BTN;27.5;90.5;797765;;;;;;;
Bolivia;BOL;BOL;-17;-65;10887882;;;;;;;
Bosnia and Herzegovina;BIH;BIH;44;18;3516816;;;;;;;
Botswana;BWA;BWA;-22;24;2250260;;;;;;;
Brazil;BRA;BRA;-10;-55;207652865;;;;;;;
British Virgin Islands;VGB;IOT;-6;71.5;30661;;;;;;;
Brunei Darussalam;BRN;BRN;4.5;114.6667;423196;;;;;;;
Bulgaria;BGR;BGR;43;25;7127822;;;;;;;
Burkina Faso;BFA;BFA;13;-2;18646433;;;;;;;
Burundi;BDI;BDI;-3.5;30;10524117;;;;;;;
Cambodia;KHM;KHM;13;105;15762370;;;;;;;
Cameroon;CMR;CMR;6;12;23439189;;;;;;;
Canada;CAN;CAN;60;-95;36286425;;;;;;;
Cape Verde;CPV;CPV;16;-24;539560;;;;;;;
Cayman Islands;CYM;CYM;19.5;-80.5;60765;;;;;;;
Central African Republic;CAF;CAF;7;21;4594621;;;;;;;
Chad;TCD;TCD;15;19;14452543;;;;;;;
Chile;CHL;CHL;-30;-71;17909754;;;;;;;
China;CHN;CHN;35;105;1378665000;;;;;;;
Colombia;COL;COL;4;-72;48653419;;;;;;;
Comoros;COM;COM;-12.1667;44.25;795601;;;;;;;
Congo;COG;COG;-1;15;5125821;;;;;;;
Costa Rica;CRI;CRI;10;-84;4857274;;;;;;;
Cote d'Ivoire;CIV;CIV;8;-5;23695919;;;;;;;
Croatia;HRV;HRV;45.1667;15.5;4170600;;;;;;;
Cuba;CUB;CUB;21.5;-80;11475982;;;;;;;
Cyprus;CYP;CYP;35;33;1170125;;;;;;;
Czech Republic;CZE;CZE;49.75;15.5;10561633;;;;;;;
Denmark;DNK;DNK;56;10;5731118;;;;;;;
Djibouti;DJI;DJI;11.5;43;942333;;;;;;;
Dominica;DMA;DMA;15.4167;-61.3333;73543;;;;;;;
Dominican Republic;DOM;DOM;19;-70.6667;10648791;;;;;;;
Ecuador;ECU;ECU;-2;-77.5;16385068;;;;;;;
Egypt, Arab Rep.;EGY;EGY;27;30;95688681;;;;;;;
El Salvador;SLV;SLV;13.8333;-88.9167;6344722;;;;;;;
Equatorial Guinea;GNQ;GNQ;2;10;1221490;;;;;;;
Eritrea;ERI;ERI;15;39;5119315;;;;;;;
Estonia;EST;EST;59;26;1316481;;;;;;;
Ethiopia;ETH;ETH;8;38;102403196;;;;;;;
Faroe Islands;FRO;FRO;62;-7;49117;;;;;;;
Fiji;FJI;FJI;-18;175;898760;;;;;;;
Finland;FIN;FIN;64;26;5495096;;;;;;;
France;FRA;FRA;46;2;66896109;;;;;;;
French Polynesia;PYF;PYF;-15;-140;280208;;;;;;;
Gabon;GAB;GAB;-1;11.75;1979786;;;;;;;
Gambia, The;GMB;GMB;13.4667;-16.5667;2038501;;;;;;;
Georgia;GEO;GEO;42;43.5;3719300;;;;;;;
Germany;DEU;DEU;51;9;82667685;;;;;;;
Ghana;GHA;GHA;8;-2;28206728;;;;;;;
Gibraltar;GIB;GIB;36.1833;-5.3667;34408;;;;;;;
Greece;GRC;GRC;39;22;10746740;;;;;;;
Greenland;GRL;GRL;72;-40;56186;;;;;;;
Grenada;GRD;GRD;12.1167;-61.6667;107317;;;;;;;
Guam;GUM;GUM;13.4667;144.7833;162896;;;;;;;
Guatemala;GTM;GTM;15.5;-90.25;16582469;;;;;;;
Guinea;GIN;GIN;11;-10;12395924;;;;;;;
Guinea-Bissau;GNB;GNB;12;-15;1815698;;;;;;;
Guyana;GUY;GUY;5;-59;773303;;;;;;;
Haiti;HTI;HTI;19;-72.4167;10847334;;;;;;;
Honduras;HND;HND;15;-86.5;9112867;;;;;;;
Hong Kong SAR, China;HKG;HKG;22.25;114.1667;7346700;;;;;;;
Hungary;HUN;HUN;47;20;9817958;;;;;;;
Iceland;ISL;ISL;65;-18;334252;;;;;;;
India;IND;IND;20;77;1324171354;;;;;;;
Indonesia;IDN;IDN;-5;120;261115456;;;;;;;
Iran, Islamic Rep.;IRN;IRN;32;53;80277428;;;;;;;
Iraq;IRQ;IRQ;33;44;37202572;;;;;;;
Ireland;IRL;IRL;53;-8;4773095;;;;;;;
Isle of Man;IMN;IMN;54.23;-4.55;83737;;;;;;;
Israel;ISR;ISR;31.5;34.75;8547100;;;;;;;
Italy;ITA;ITA;42.8333;12.8333;60600590;;;;;;;
Jamaica;JAM;JAM;18.25;-77.5;2881355;;;;;;;
Japan;JPN;JPN;36;138;126994511;;;;;;;
Jordan;JOR;JOR;31;36;9455802;;;;;;;
Kazakhstan;KAZ;KAZ;48;68;17797032;;;;;;;
Kenya;KEN;KEN;1;38;48461567;;;;;;;
Kiribati;KIR;KIR;1.4167;173;114395;;;;;;;
Korea, Dem. Peopleӳ Rep.;PRK;PRK;40;127;25368620;;;;;;;
Korea, Rep.;KOR;KOR;37;127.5;51245707;;;;;;;
Kuwait;KWT;KWT;29.3375;47.6581;4052584;;;;;;;
Kyrgyz Republic;KGZ;KGZ;41;75;6082700;;;;;;;
Lao PDR;LAO;LAO;18;105;6758353;;;;;;;
Latvia;LVA;LVA;57;25;1960424;;;;;;;
Lebanon;LBN;LBN;33.8333;35.8333;6006668;;;;;;;
Lesotho;LSO;LSO;-29.5;28.5;2203821;;;;;;;
Liberia;LBR;LBR;6.5;-9.5;4613823;;;;;;;
Libya;LBY;LBY;25;17;6293253;;;;;;;
Liechtenstein;LIE;LIE;47.1667;9.5333;37666;;;;;;;
Lithuania;LTU;LTU;56;24;2872298;;;;;;;
Luxembourg;LUX;LUX;49.75;6.1667;582972;;;;;;;
Macao SAR, China;MAC;MAC;22.1667;113.55;612167;;;;;;;
Macedonia, FYR;MKD;MKD;41.8333;22;2081206;;;;;;;
Madagascar;MDG;MDG;-20;47;24894551;;;;;;;
Malawi;MWI;MWI;-13.5;34;18091575;;;;;;;
Malaysia;MYS;MYS;2.5;112.5;31187265;;;;;;;
Maldives;MDV;MDV;3.25;73;417492;;;;;;;
Mali;MLI;MLI;17;-4;17994837;;;;;;;
Malta;MLT;MLT;35.8333;14.5833;436947;;;;;;;
Marshall Islands;MHL;MHL;9;168;53066;;;;;;;
Mauritania;MRT;MRT;20;-12;4301018;;;;;;;
Mauritius;MUS;MUS;-20.2833;57.55;1263473;;;;;;;
Mexico;MEX;MEX;23;-102;127540423;;;;;;;
Micronesia, Fed. Sts.;FSM;FSM;6.9167;158.25;104937;;;;;;;
Moldova;MDA;MDA;47;29;3552000;;;;;;;
Monaco;MCO;MCO;43.7333;7.4;38499;;;;;;;
Mongolia;MNG;MNG;46;105;3027398;;;;;;;
Montenegro;MNE;MNE;42;19;622781;;;;;;;
Morocco;MAR;MAR;32;-5;35276786;;;;;;;
Mozambique;MOZ;MOZ;-18.25;35;28829476;;;;;;;
Myanmar;MMR;MMR;22;98;52885223;;;;;;;
Namibia;NAM;NAM;-22;17;2479713;;;;;;;
Nauru;NRU;NRU;-0.5333;166.9167;13049;;;;;;;
Nepal;NPL;NPL;28;84;28982771;;;;;;;
Netherlands;NLD;NLD;52.5;5.75;17018408;;;;;;;
New Caledonia;NCL;NCL;-21.5;165.5;278000;;;;;;;
New Zealand;NZL;NZL;-41;174;4692700;;;;;;;
